"Country/Area","Year","Unit","Gross Domestic Product (GDP)"
"Afghanistan","2018","US$","551.8650285152613"
"Africa","2018","US$","1856.2495336806874"
"Albania","2018","US$","5223.809212594223"
"Algeria","2018","US$","4114.706088761594"
"Americas","2018","US$","27721.67595562011"
"Andorra","2018","US$","42051.59540749594"
"Angola","2018","US$","3437.29545754229"
"Anguilla","2018","US$","19890.72656051612"
"Antigua and Barbuda","2018","US$","16726.980807947926"
"Argentina","2018","US$","11687.597996717634"
"Armenia","2018","US$","4212.1330866929475"
"Aruba","2018","US$","30262.48723032599"
"Asia","2018","US$","6982.108765911307"
"Australia","2018","US$","58392.709120729225"
"Australia and New Zealand","2018","US$","56063.4018892317"
"Austria","2018","US$","51230.275298774424"
"Azerbaijan","2018","US$","4717.7198343766295"
"Bahamas","2018","US$","32218.122223749277"
"Bahrain","2018","US$","24133.549306909517"
"Bangladesh","2018","US$","1670.7963551243486"
"Barbados","2018","US$","17745.86781025743"
"Belarus","2018","US$","6311.718071377655"
"Belgium","2018","US$","47292.96711017168"
"Belize","2018","US$","4884.742421117756"
"Benin","2018","US$","906.5387272629492"
"Bermuda","2018","US$","101207.85263560456"
"Bhutan","2018","US$","3523.7995016348227"
"Bolivia (Plurinational State of)","2018","US$","3548.590155089706"
"Bosnia and Herzegovina","2018","US$","5951.382784014933"
"Botswana","2018","US$","8258.226783975368"
"Brazil","2018","US$","8920.700489860712"
"British Virgin Islands","2018","US$","48511.258036373394"
"Brunei Darussalam","2018","US$","31627.233053326287"
"Bulgaria","2018","US$","9387.813427240457"
"Burkina Faso","2018","US$","820.1744384706208"
"Burundi","2018","US$","293.9633429376932"
"Cabo Verde","2018","US$","3635.407670843992"
"Cambodia","2018","US$","1512.127267954933"
"Cameroon","2018","US$","1534.4919912651364"
"Canada","2018","US$","46192.37513992165"
"Caribbean","2018","US$","8800.31301085695"
"Cayman Islands","2018","US$","85474.20981842745"
"Central African Republic","2018","US$","480.7094315988355"
"Central America","2018","US$","8503.12608387612"
"Central Asia","2018","US$","3972.2201330810835"
"Chad","2018","US$","735.7296642055778"
"Chile","2018","US$","15923.358737538198"
"China, Hong Kong SAR","2018","US$","49199.03716539895"
"China, Macao Special Administrative Region","2018","US$","86355.32831226522"
"China, People's Republic of","2018","US$","9531.86913339399"
"Colombia","2018","US$","6649.63553704082"
"Comoros","2018","US$","1400.528186483969"
"Congo","2018","US$","2702.5587538682566"
"Cook Islands","2018","US$","20705.21124536254"
"Costa Rica","2018","US$","12026.547533773275"
"Croatia","2018","US$","14674.023127459857"
"Cuba","2018","US$","8821.822003514864"
"Curaçao","2018","US$","19218.86083113465"
"Cyprus","2018","US$","28967.576681067592"
"Czechia","2018","US$","22992.059754235026"
